Group,Item,ID,factor1,factor2,Context,Sentence,Question,AnswerA,AnswerB,AnswerC,AnswerD,AnswerE,Verb
d,b48,bfiller,filler,filler,Celebrity interviews can be tiring.,The interview was not going well. The actress complained to the spokeswoman that she was perceived as unfriendly and not very charitable.,"Who does ""she"" refer to?",The actress,More likely the actress,Could be either,More likely the spokeswoman,The spokeswoman,
d,b49,bfiller,filler,filler,The school day was almost over.,Everyone was happy with the winter fundraiser. The schoolgirl revealed to the headmistress that she had won the school raffle for a new snowmobile.,"Who does ""she"" refer to?",The schoolgirl,More likely the schoolgirl,Could be either,More likely headmistress,The headmistress,
d,b50,bfiller,filler,filler,It had been a lovely garden party.,"The lemonade was especially delicious. We complimented the maid of the actress when she was in the yard, and it went over well.","Who does ""she"" refer to?",The maid,More likely the maid,Could be either,More likely the actress,The actress,
d,b51,bfiller,filler,filler,It can be hard to get ahold of people.,"Many people are away from work during the summer. We called the secretary of the businesswoman when she was on vacation, but there was no answer.","Who does ""she"" refer to?",The secretary,More likely the secretary,Could be either,More likely the businesswoman,The businesswoman,
d,b52,bfiller,filler,filler,It had been a long day.,"Everyone was saying goodbye. The kids waved to the grandmother of the stewardess when she was leaving, but were ignored.","Who does ""she"" refer to?",The grandmother,More likely the grandmother,Could be either ,More likely the stewardess,The stewardess,
d,b53,bfiller,filler,filler,Wedding planning is very time consuming.,Everyone seemed ready for the big day. I e-mailed the receptionist of the wedding planner after she had left to check in on things.,"Who does ""she"" refer to?",The receptionist,More likely the receptionist,Could be either,More likely the wedding planner,The wedding planner,
d,b54,bfiller,filler,filler,Some children are very badly behaved.,The parents were out of town. We spoke to the babysitter of the girl when she got home in order to resolve a conflict.,"Who does ""she"" refer to?",The babysitter,More likely the babysitter,Could be either,More likely the girl,The girl,
d,b55,bfiller,filler,filler,It is important to do research.,Consumer reviews can be very helpful. I googled the masseuse of the boutique owner after she gave me a card to read the reviews.,"Who does ""she"" refer to?",The masseuse,More likely the masseuse,Could be either,More likely the boutique owner,The boutique owner,
d,b56,bfiller,filler,filler,The fashion world is very fast paced.,"Not everyone is friendly. We said hello to the sister of the fashion model when she arrived, but didn't get a response.","Who does ""she"" refer to?",The sister,More likely the sister,Could be either,More likely the fashion model,The fashion model,
d,b57,bfiller,filler,filler,Being shy can make it hard to date.,"Everyone was having a good time. I admired the daughter of the romance novelist when she was dancing, but didn't let it show.","Who does ""she"" refer to?",The daughter,More likely the daughter,Could be either,More likely the romance novelist,The romance novelist,
d,b58,bfiller,filler,filler,Gossip is hard to avoid.,"Everyone was talking about the royal family. The guards discussed the grandmother of the princess after she sold the palace, but only in whispers.","Who does ""she"" refer to?",The grandmother,More likely the grandmother,Could be either,More likely the princess,The princess,
d,b59,bfiller,filler,filler,It can be expensive to go to the salon.,"No one wanted to pay full price for a haircut. We called the hairdresser of the cheerleader after she left school, mostly to ask about prices.","Who does ""she"" refer to?",The hairdresser,More likely the hairdresser,Could be either,More likely the cheerleader,The cheerleader,
d,b60,bfiller,filler,filler,Travel can be very exciting.,"Everyone was in a good mood when the guests arrived. We chatted with the housekeeper of the heiress when she visited New York, and it was nice.","Who does ""she"" refer to?",The housekeeper,More likely the housekeeper,Could be either,More likely the heiress,The heiress,
